Station,Satellite,Max Distance,MSE,MAE,MAE Percentage,Count,Overall_MSE,Overall_MAE,Overall_MAE_Percentage,Min_MSE,Min_MSE_Distance,Min_MAE,Min_MAE_Distance,Min_MAE_Percentage,Min_MAE_Percentage_Distance
3,AMSR,75,0.0021668285540452866,0.03818470627502175,24.76407708613067,1149,0.0029603901040490955,0.04348046250733137,26.99139535566688,0.0020885879051928944,30,0.03761352139248305,30,24.722987532793418,60
3,AMSR,80,0.002179115988630236,0.038310820357864345,24.788420628929806,1155,0.0029603901040490955,0.04348046250733137,26.99139535566688,0.0020885879051928944,30,0.03761352139248305,30,24.722987532793418,60
3,AMSR,85,0.0021940332426703527,0.038489476941580746,24.864822737711137,1164,0.0029603901040490955,0.04348046250733137,26.99139535566688,0.0020885879051928944,30,0.03761352139248305,30,24.722987532793418,60
3,AMSR,90,0.0022036120886825957,0.03857476791383219,24.87414628971824,1176,0.0029603901040490955,0.04348046250733137,26.99139535566688,0.0020885879051928944,30,0.03761352139248305,30,24.722987532793418,60
3,AMSR,95,0.0022122840090001363,0.03865503031514133,24.86036935100558,1191,0.0029603901040490955,0.04348046250733137,26.99139535566688,0.0020885879051928944,30,0.03761352139248305,30,24.722987532793418,60
3,AMSR,100,0.0022192634362111917,0.038711610118629905,24.888294886419907,1197,0.0029603901040490955,0.04348046250733137,26.99139535566688,0.0020885879051928944,30,0.03761352139248305,30,24.722987532793418,60
3,AMSR,105,0.002214998580819999,0.03866743273039215,24.872262903849176,1224,0.0029603901040490955,0.04348046250733137,26.99139535566688,0.0020885879051928944,30,0.03761352139248305,30,24.722987532793418,60
3,AMSR,110,0.002219135299883113,0.03874533606418554,24.942499294481042,1236,0.0029603901040490955,0.04348046250733137,26.99139535566688,0.0020885879051928944,30,0.03761352139248305,30,24.722987532793418,60
3,AMSR,115,0.002214887457360645,0.03873519807925033,24.933865269435763,1245,0.0029603901040490955,0.04348046250733137,26.99139535566688,0.0020885879051928944,30,0.03761352139248305,30,24.722987532793418,60
3,AMSR,120,0.002213891771865084,0.03872535179626666,24.90679980032163,1250,0.0029603901040490955,0.04348046250733137,26.99139535566688,0.0020885879051928944,30,0.03761352139248305,30,24.722987532793418,60
3,AMSR,125,0.0022168913623955054,0.03877564107814992,24.9117560928479,1254,0.0029603901040490955,0.04348046250733137,26.99139535566688,0.0020885879051928944,30,0.03761352139248305,30,24.722987532793418,60
3,AMSR,130,0.0022191026248736005,0.03881915399205087,24.937435536153465,1258,0.0029603901040490955,0.04348046250733137,26.99139535566688,0.0020885879051928944,30,0.03761352139248305,30,24.722987532793418,60
3,AMSR,135,0.0022171516195258123,0.03880738559417989,24.926124610276375,1260,0.0029603901040490955,0.04348046250733137,26.99139535566688,0.0020885879051928944,30,0.03761352139248305,30,24.722987532793418,60
3,AMSR,140,0.0022171516195258123,0.03880738559417989,24.926124610276375,1260,0.0029603901040490955,0.04348046250733137,26.99139535566688,0.0020885879051928944,30,0.03761352139248305,30,24.722987532793418,60
3,AMSR,145,0.0022171516195258123,0.03880738559417989,24.926124610276375,1260,0.0029603901040490955,0.04348046250733137,26.99139535566688,0.0020885879051928944,30,0.03761352139248305,30,24.722987532793418,60
3,AMSR,150,0.0022171516195258123,0.03880738559417989,24.926124610276375,1260,0.0029603901040490955,0.04348046250733137,26.99139535566688,0.0020885879051928944,30,0.03761352139248305,30,24.722987532793418,60
3,AMSR,155,0.0022171516195258123,0.03880738559417989,24.926124610276375,1260,0.0029603901040490955,0.04348046250733137,26.99139535566688,0.0020885879051928944,30,0.03761352139248305,30,24.722987532793418,60
3,AMSR,160,0.002219071875635751,0.03883377847204641,24.934901926383084,1264,0.0029603901040490955,0.04348046250733137,26.99139535566688,0.0020885879051928944,30,0.03761352139248305,30,24.722987532793418,60
