Station 1
AMSR vs SWC_5:
 Max Distance  Mean Difference  Median Difference  Standard Deviation  Count
 Max Distance  Mean Difference  Median Difference  Standard Deviation  Count
            5              NaN                NaN                 NaN      0
           10         0.005418           0.006119            0.035463   1374
           15         0.005418           0.006119            0.035463   1374
           20         0.005418           0.006119            0.035463   1374
           25         0.005418           0.006119            0.035463   1374
           30         0.005418           0.006119            0.035463   1374
           35         0.005418           0.006119            0.035463   1374
           40         0.005418           0.006119            0.035463   1374
           45         0.005418           0.006119            0.035463   1374
           50         0.005418           0.006119            0.035463   1374
           55         0.005418           0.006119            0.035463   1374
           60         0.005418           0.006119            0.035463   1374
           65         0.005418           0.006119            0.035463   1374
           70         0.005418           0.006119            0.035463   1374
           75         0.005418           0.006119            0.035463   1374
           80         0.005418           0.006119            0.035463   1374
           85         0.005418           0.006119            0.035463   1374
           90         0.005418           0.006119            0.035463   1374
           95         0.005418           0.006119            0.035463   1374
          100         0.005418           0.006119            0.035463   1374
          105         0.005418           0.006119            0.035463   1374
          110         0.005418           0.006119            0.035463   1374
          115         0.005418           0.006119            0.035463   1374
          120         0.005418           0.006119            0.035463   1374
          125         0.005418           0.006119            0.035463   1374
          130         0.005418           0.006119            0.035463   1374
          135         0.005418           0.006119            0.035463   1374
          140         0.005418           0.006119            0.035463   1374
          145         0.005418           0.006119            0.035463   1374
          150         0.005418           0.006119            0.035463   1374
          155         0.005418           0.006119            0.035463   1374
          160         0.005418           0.006119            0.035463   1374
          165         0.005418           0.006119            0.035463   1374
          170         0.005418           0.006119            0.035463   1374
          175         0.005418           0.006119            0.035463   1374
          180         0.005418           0.006119            0.035463   1374
          185         0.005418           0.006119            0.035463   1374
          190         0.005418           0.006119            0.035463   1374
          195         0.005418           0.006119            0.035463   1374
          200         0.005418           0.006119            0.035463   1374
Lowest standard deviation for SMAP: 0.0355 at 10 miles

==================================================

Station 4
AMSR vs SWC_5:
 Max Distance  Mean Difference  Median Difference  Standard Deviation  Count
            5              NaN                NaN                 NaN      0
           10        -0.040176          -0.055495            0.066414   1053
           15        -0.040176          -0.055495            0.066414   1053
           20        -0.040261          -0.055495            0.066409   1057
           25        -0.040569          -0.055743            0.066298   1068
           30        -0.040473          -0.055589            0.066266   1072
           35        -0.040742          -0.055683            0.066374   1085
           40        -0.040790          -0.055803            0.066286   1099
           45        -0.040755          -0.055743            0.066266   1100
           50        -0.040871          -0.055963            0.066216   1103
           55        -0.041228          -0.055803            0.066275   1119
           60        -0.041536          -0.056049            0.066356   1134
           65        -0.041575          -0.056023            0.066425   1141
           70        -0.041776          -0.056075            0.066542   1143
           75        -0.041812          -0.056087            0.066456   1150
           80        -0.041824          -0.056023            0.066431   1165
           85        -0.041883          -0.056049            0.066405   1182
           90        -0.042286          -0.056279            0.066503   1196
           95        -0.042771          -0.057483            0.066573   1207
          100        -0.043056          -0.058358            0.066567   1216
          105        -0.043189          -0.058424            0.066436   1229
          110        -0.043624          -0.058570            0.066529   1239
          115        -0.043915          -0.058709            0.066772   1251
          120        -0.043896          -0.058558            0.066712   1259
          125        -0.043896          -0.058558            0.066712   1259
          130        -0.043912          -0.058564            0.066688   1260
          135        -0.043912          -0.058564            0.066688   1260
          140        -0.043912          -0.058564            0.066688   1260
          145        -0.043912          -0.058564            0.066688   1260
          150        -0.043912          -0.058564            0.066688   1260
          155        -0.043912          -0.058564            0.066688   1260
          160        -0.043767          -0.058424            0.066677   1263
          165        -0.043926          -0.058558            0.066674   1267
          170        -0.043926          -0.058558            0.066674   1267
          175        -0.043905          -0.058491            0.066652   1268
          180        -0.044013          -0.058564            0.066661   1270
          185        -0.044251          -0.058709            0.066631   1277
          190        -0.044410          -0.058760            0.066719   1284
          195        -0.044510          -0.058811            0.066689   1287
          200        -0.044426          -0.058760            0.066731   1288
Lowest standard deviation for AMSR: 0.0662 at 50 miles

SMAP vs SWC_5:
 Max Distance  Mean Difference  Median Difference  Standard Deviation  Count
            5              NaN                NaN                 NaN      0
           10              NaN                NaN                 NaN      0
           15              NaN                NaN                 NaN      0
           20              NaN                NaN                 NaN      0
           25        -0.034211          -0.038899            0.053401   1374
