event_id,time_of_day,duration_hours,cooling_effect_C,recovery_time_hours
337,Morning,2.0,0.0,
338,Morning,1.0,0.0,
339,Morning,3.0,14.900000000000006,
340,Night/Early Morning,2.0,0.4000000000000057,
341,Afternoon,1.0,0.0,
342,Afternoon,3.0,3.799999999999997,
343,Night/Early Morning,1.0,0.0,
344,Night/Early Morning,1.0,0.0,
345,Morning,1.0,0.0,
346,Afternoon,2.0,2.0999999999999943,
347,Afternoon,3.0,19.419999999999987,
348,Night/Early Morning,1.0,0.0,
349,Night/Early Morning,1.0,0.0,
350,Morning,1.0,0.0,
351,Morning,1.0,0.0,
352,Afternoon,1.0,0.0,
353,Night/Early Morning,1.0,0.0,
354,Afternoon,2.0,12.759999999999991,
355,Morning,2.0,0.0,
356,Night/Early Morning,2.0,8.5,
357,Morning,1.0,0.0,
358,Night/Early Morning,1.0,0.0,
359,Afternoon,1.0,0.0,
360,Night/Early Morning,1.0,0.0,
361,Night/Early Morning,1.0,0.0,
362,Night/Early Morning,2.0,1.120000000000001,
363,Night/Early Morning,1.0,0.0,
364,Morning,3.0,0.16999999999999815,
365,Night/Early Morning,5.0,3.1400000000000006,
366,Night/Early Morning,1.0,0.0,
367,Night/Early Morning,1.0,0.0,
368,Night/Early Morning,2.0,1.0,
369,Afternoon,1.0,0.0,
370,Night/Early Morning,1.0,0.0,
371,Night/Early Morning,4.0,1.1600000000000001,
372,Night/Early Morning,4.0,0.9800000000000004,
373,Night/Early Morning,1.0,0.0,
374,Afternoon,1.0,0.0,
375,Night/Early Morning,6.0,2.0199999999999996,
376,Night/Early Morning,8.0,1.1600000000000001,
377,Morning,5.0,1.3599999999999994,2.0
378,Morning,4.0,0.379999999999999,6.0
379,Morning,1.0,0.0,4.0
380,Afternoon,3.0,1.0599999999999987,
381,Morning,1.0,0.0,
382,Afternoon,2.0,0.41999999999999815,
383,Morning,1.0,0.0,
384,Night/Early Morning,2.0,1.0499999999999972,
385,Morning,1.0,0.0,
386,Afternoon,1.0,0.0,
387,Afternoon,2.0,1.6099999999999994,
388,Night/Early Morning,4.0,0.7800000000000011,
389,Night/Early Morning,3.0,0.03999999999999915,
390,Morning,11.0,0.129999999999999,
391,Afternoon,2.0,3.3999999999999986,
392,Afternoon,1.0,0.0,
393,Afternoon,1.0,0.0,
394,Night/Early Morning,1.0,0.0,
395,Night/Early Morning,1.0,0.0,
396,Night/Early Morning,2.0,0.870000000000001,
397,Night/Early Morning,1.0,0.0,
398,Morning,3.0,0.0,5.0
399,Morning,1.0,0.0,3.0
400,Morning,1.0,0.0,
401,Morning,1.0,0.0,
402,Afternoon,2.0,0.0,
403,Night/Early Morning,1.0,0.0,
404,Night/Early Morning,4.0,0.0,
405,Morning,3.0,5.280000000000001,1.0
406,Night/Early Morning,2.0,0.9200000000000017,
407,Morning,1.0,0.0,
408,Night/Early Morning,7.0,7.987,
409,Morning,5.0,0.6480000000000001,
410,Afternoon,26.0,0.6299999999999999,
411,Afternoon,2.0,0.0,
412,Night/Early Morning,2.0,0.0,
413,Night/Early Morning,1.0,0.0,
414,Night/Early Morning,3.0,0.08499999999999996,
415,Morning,1.0,0.0,
416,Morning,2.0,0.0,
417,Afternoon,4.0,0.33999999999999986,
418,Night/Early Morning,1.0,0.0,
419,Night/Early Morning,1.0,0.0,
420,Night/Early Morning,1.0,0.0,
421,Night/Early Morning,1.0,0.0,
422,Morning,1.0,0.0,
423,Afternoon,3.0,0.05999999999999872,4.0
424,Night/Early Morning,1.0,0.0,1.0
425,Night/Early Morning,3.0,0.0,6.0
426,Night/Early Morning,2.0,0.0,3.0
427,Morning,4.0,0.0,
428,Morning,1.0,0.0,2.0
429,Afternoon,5.0,1.6099999999999994,1.0
430,Night/Early Morning,1.0,0.0,1.0
431,Night/Early Morning,2.0,0.6899999999999995,1.0
432,Morning,1.0,0.0,
433,Afternoon,6.0,0.8900000000000006,5.0
434,Night/Early Morning,2.0,0.0,2.0
435,Night/Early Morning,2.0,0.40000000000000213,
436,Afternoon,4.0,2.540000000000001,
437,Night/Early Morning,1.0,0.0,
438,Night/Early Morning,1.0,0.0,6.0
439,Morning,1.0,0.0,1.0
440,Night/Early Morning,5.0,1.7599999999999998,
441,Night/Early Morning,1.0,0.0,
442,Night/Early Morning,7.0,3.370000000000001,
443,Night/Early Morning,1.0,0.0,
444,Night/Early Morning,1.0,0.0,
445,Morning,2.0,0.3000000000000007,
446,Afternoon,3.0,0.0,
447,Afternoon,2.0,2.3900000000000006,
448,Night/Early Morning,5.0,0.4499999999999993,
449,Night/Early Morning,1.0,0.0,
450,Morning,1.0,0.0,
451,Morning,13.0,0.42900000000000027,
452,Night/Early Morning,4.0,1.3069999999999995,
453,Morning,2.0,0.20800000000000018,
454,Night/Early Morning,8.0,2.455,
455,Night/Early Morning,1.0,0.0,
456,Night/Early Morning,1.0,0.0,
457,Night/Early Morning,10.0,0.0,1.0
458,Night/Early Morning,4.0,5.68,2.0
459,Night/Early Morning,1.0,0.0,
460,Night/Early Morning,14.0,0.17200000000000001,
461,Night/Early Morning,8.0,0.037000000000000005,
462,Morning,1.0,0.0,
463,Morning,2.0,0.870000000000001,
464,Morning,1.0,0.0,
465,Afternoon,1.0,0.0,
466,Night/Early Morning,2.0,0.0,2.0
467,Afternoon,1.0,0.0,
468,Night/Early Morning,4.0,0.23000000000000043,
469,Night/Early Morning,2.0,1.7799999999999994,
470,Night/Early Morning,1.0,0.0,2.0
471,Afternoon,3.0,0.0,
472,Night/Early Morning,1.0,0.0,
473,Night/Early Morning,2.0,0.0,
474,Morning,1.0,0.0,
475,Afternoon,1.0,0.0,
476,Morning,2.0,0.0,
477,Afternoon,1.0,0.0,
478,Night/Early Morning,2.0,0.0,
479,Morning,2.0,0.0,
480,Afternoon,1.0,0.0,
481,Night/Early Morning,1.0,0.0,
482,Night/Early Morning,1.0,0.0,
483,Morning,2.0,0.274,
484,Night/Early Morning,2.0,0.16999999999999815,6.0
485,Night/Early Morning,4.0,7.850000000000001,1.0
486,Afternoon,1.0,0.0,3.0
487,Morning,4.0,3.3499999999999996,
488,Afternoon,2.0,1.790000000000001,4.0
489,Morning,2.0,4.48,
490,Afternoon,1.0,0.0,
491,Night/Early Morning,6.0,6.23,
492,Morning,4.0,0.0,
493,Night/Early Morning,5.0,1.3499999999999996,1.0
494,Morning,1.0,0.0,
495,Afternoon,3.0,0.7000000000000011,4.0
496,Afternoon,5.0,3.540000000000001,2.0
497,Night/Early Morning,1.0,0.0,
498,Night/Early Morning,3.0,0.0,
499,Afternoon,4.0,2.3500000000000014,
500,Night/Early Morning,1.0,0.0,
501,Morning,4.0,3.6400000000000006,1.0
502,Afternoon,1.0,0.0,1.0
503,Night/Early Morning,2.0,1.2800000000000011,1.0
504,Night/Early Morning,1.0,0.0,1.0
505,Night/Early Morning,1.0,0.0,1.0
506,Night/Early Morning,1.0,0.0,6.0
507,Night/Early Morning,1.0,0.0,4.0
508,Night/Early Morning,1.0,0.0,2.0
509,Morning,1.0,0.0,
510,Morning,1.0,0.0,
511,Morning,1.0,0.0,
512,Night/Early Morning,2.0,2.129999999999999,
513,Morning,3.0,0.129999999999999,
514,Afternoon,2.0,0.0,
515,Night/Early Morning,2.0,2.210000000000001,
516,Morning,1.0,0.0,
517,Night/Early Morning,4.0,0.9199999999999982,
518,Night/Early Morning,2.0,0.490000000000002,
519,Afternoon,1.0,0.0,2.0
520,Afternoon,2.0,0.8399999999999999,1.0
521,Morning,2.0,0.0,
522,Morning,2.0,1.3300000000000018,
523,Morning,3.0,0.9700000000000024,
524,Night/Early Morning,2.0,0.46000000000000085,
525,Night/Early Morning,2.0,0.3200000000000003,
526,Night/Early Morning,4.0,4.370000000000001,
527,Night/Early Morning,3.0,2.5799999999999983,
528,Night/Early Morning,3.0,0.120000000000001,
529,Night/Early Morning,1.0,0.0,
530,Afternoon,1.0,0.0,
531,Morning,2.0,0.0,
532,Morning,1.0,0.0,
533,Afternoon,2.0,3.0,
534,Night/Early Morning,1.0,0.0,
535,Night/Early Morning,3.0,0.6999999999999993,
536,Morning,1.0,0.0,
537,Morning,1.0,0.0,
538,Night/Early Morning,3.0,5.510000000000002,
539,Night/Early Morning,4.0,9.160000000000002,1.0
540,Night/Early Morning,4.0,2.1099999999999994,2.0
541,Night/Early Morning,1.0,0.0,1.0
542,Night/Early Morning,2.0,5.73,
543,Night/Early Morning,1.0,0.0,
544,Morning,1.0,0.0,
545,Afternoon,4.0,12.89,
546,Night/Early Morning,1.0,0.0,
547,Night/Early Morning,2.0,0.32600000000000007,
548,Morning,2.0,0.030000000000001137,
549,Morning,4.0,0.0,
550,Night/Early Morning,1.0,0.0,
551,Night/Early Morning,1.0,0.0,
552,Night/Early Morning,5.0,1.851,
553,Afternoon,2.0,0.0,
554,Afternoon,2.0,0.0,
555,Morning,2.0,0.0,
556,Morning,9.0,11.229,
557,Night/Early Morning,7.0,0.11800000000000033,
558,Morning,1.0,0.0,
