Label Feature,Dropped Feature,Model Name,Test MSE,Test MAE,Test MAPE
SWC_5,T_50,Multi-step Linear,0.06706079095602036,0.16802388429641724,30.89175796508789
SWC_5,T_50,Multi-step Dense,0.04949794337153435,0.13233542442321777,21.284942626953125
SWC_5,T_50,CNN,0.04238886758685112,0.10971161723136902,17.717512130737305
SWC_5,T_50,RNN,0.03567322716116905,0.08006934821605682,12.324536323547363
SWC_5,T_50,LSTM,0.03824259340763092,0.09853223711252213,18.97159767150879
SWC_5,T_50,Autoregressive,0.07719779014587402,0.16732379794120789,21.832366943359375
SWC_5,T_50,Bi-LSTM,0.07555568963289261,0.18404868245124817,38.25522994995117
SWC_5,Tair,Baseline,0.06868959963321686,0.10699514299631119,18.387847900390625
SWC_5,Tair,Multi-step Linear,0.07089108228683472,0.17584966123104095,30.04741668701172
SWC_5,Tair,Multi-step Dense,0.03632530942559242,0.08150418102741241,16.2918643951416
SWC_5,Tair,CNN,0.03756193071603775,0.08564278483390808,13.910158157348633
SWC_5,Tair,RNN,0.03535546734929085,0.08058340847492218,15.076478958129883
SWC_5,Tair,LSTM,0.04245679825544357,0.11426437646150589,19.224544525146484
SWC_5,Tair,Autoregressive,0.0753607377409935,0.15728624165058136,20.738544464111328
SWC_5,Tair,Bi-LSTM,0.061016980558633804,0.18135899305343628,34.00323486328125
SWC_5,RH,Baseline,0.06868960708379745,0.1069950982928276,18.387855529785156
SWC_5,RH,Multi-step Linear,0.08780615776777267,0.20182918012142181,27.33233070373535
SWC_5,RH,Multi-step Dense,0.035966016352176666,0.07492648810148239,11.319164276123047
SWC_5,RH,CNN,0.03539815917611122,0.07067294418811798,11.374323844909668
SWC_5,RH,RNN,0.035032905638217926,0.07363080233335495,12.179071426391602
SWC_5,RH,LSTM,0.03704393282532692,0.08349134773015976,12.164498329162598
SWC_5,RH,Autoregressive,0.07236101478338242,0.14532732963562012,20.488706588745117
SWC_5,RH,Bi-LSTM,0.06865912675857544,0.15874402225017548,41.5286865234375
SWC_5,Srad,Baseline,0.06868958473205566,0.1069951206445694,18.387847900390625
SWC_5,Srad,Multi-step Linear,0.06183939427137375,0.15323738753795624,31.20949935913086
SWC_5,Srad,Multi-step Dense,0.03828643262386322,0.0912167951464653,16.968929290771484
SWC_5,Srad,CNN,0.04448213800787926,0.11305076628923416,20.31481170654297
SWC_5,Srad,RNN,0.03591795265674591,0.08258353918790817,15.396657943725586
SWC_5,Srad,LSTM,0.050039902329444885,0.13971012830734253,23.90797996520996
SWC_5,Srad,Autoregressive,0.09058323502540588,0.19983750581741333,26.26546287536621
SWC_5,Srad,Bi-LSTM,0.040592554956674576,0.10349029302597046,20.020843505859375
SWC_5,Wx,Baseline,0.06868959218263626,0.10699515789747238,18.387847900390625
SWC_5,Wx,Multi-step Linear,0.07026251405477524,0.17077094316482544,33.50678634643555
SWC_5,Wx,Multi-step Dense,0.0413099005818367,0.10704178363084793,18.80904769897461
SWC_5,Wx,CNN,0.04113203287124634,0.09843170642852783,17.046337127685547
SWC_5,Wx,RNN,0.03531063348054886,0.08020611852407455,14.282879829406738
SWC_5,Wx,LSTM,0.0401102639734745,0.10581590980291367,22.714256286621094
SWC_5,Wx,Autoregressive,0.07796470820903778,0.17299504578113556,28.241235733032227
SWC_5,Wx,Bi-LSTM,0.04396431893110275,0.12265822291374207,20.00720977783203
SWC_5,Wy,Baseline,0.06868960708379745,0.1069951131939888,18.387853622436523
SWC_5,Wy,Multi-step Linear,0.06578908115625381,0.1588822901248932,33.13941192626953
SWC_5,Wy,Multi-step Dense,0.041745997965335846,0.10902955383062363,18.380247116088867
SWC_5,Wy,CNN,0.039745159447193146,0.09729884564876556,17.139863967895508
SWC_5,Wy,RNN,0.03584599494934082,0.08494389802217484,14.283548355102539
SWC_5,Wy,LSTM,0.04711906239390373,0.12478216737508774,19.660301208496094
SWC_5,Wy,Autoregressive,0.08272216469049454,0.18493950366973877,25.930431365966797
SWC_5,Wy,Bi-LSTM,0.07110415399074554,0.16727261245250702,42.55537414550781
SWC_5,Day sin,Baseline,0.06868959963321686,0.10699513554573059,18.387853622436523
SWC_5,Day sin,Multi-step Linear,0.06643605977296829,0.16227982938289642,30.378686904907227
SWC_5,Day sin,Multi-step Dense,0.03798309713602066,0.09034845978021622,14.825479507446289
SWC_5,Day sin,CNN,0.040377888828516006,0.10301925241947174,17.51820182800293
SWC_5,Day sin,RNN,0.03591455519199371,0.08051390945911407,13.814051628112793
SWC_5,Day sin,LSTM,0.04509486258029938,0.12042871862649918,22.634862899780273
SWC_5,Day sin,Autoregressive,0.0808253362774849,0.17334125936031342,28.36954689025879
SWC_5,Day sin,Bi-LSTM,0.044676605612039566,0.11991330981254578,24.640798568725586
SWC_5,Day cos,Baseline,0.06868959218263626,0.10699513554573059,18.387847900390625
SWC_5,Day cos,Multi-step Linear,0.06353574246168137,0.15679334104061127,30.00963592529297
SWC_5,Day cos,Multi-step Dense,0.034908227622509,0.07900551706552505,12.993277549743652
