features,mse,mae,mae_percentage
"('Tair', 'Windspeed', 'Winddirection')",0.0007578059218612008,0.018994413737932172,12.520450220292467
"('Windspeed', 'Winddirection')",0.0007586741046058655,0.018991230066892576,12.600812346659504
"('Srad', 'Sat_SM_AMSR')",0.000760093411184757,0.019570914114565918,13.189181780366804
"('Tair', 'Windspeed')",0.0007613379084274076,0.019247621709568695,12.818741178284482
"('Tair',)",0.0007615219322117773,0.01918817209121448,12.769072681262243
"('Windspeed', 'Winddirection', 'Sat_SM_AMSR')",0.000762064325472356,0.019214737354056093,12.818892683896141
"('Windspeed',)",0.0007663135333275745,0.019356537336356706,12.930857720305161
"('Windspeed', 'Sat_SM_AMSR')",0.0007673459871024848,0.019332116940557694,12.837210723787559
"('Winddirection', 'Sat_SM_AMSR')",0.0007683710909677727,0.019406210232443096,12.96054325491886
"('Tair', 'Winddirection')",0.0007695330615327918,0.019323584255782192,12.805871248175968
"('Sat_SM_AMSR',)",0.0007826928838966714,0.019501297635865316,12.985482102623171
