Configuration,Model,MAE,MSE,MAPE
SWC_10 - 24 input / 1 output,LSTM,0.09015332162380219,0.02072499878704548,12.688990592956543
SWC_10 - 24 input / 1 output,Autoregressive,0.08635156601667404,0.026515578851103783,10.665963172912598
SWC_10 - 24 input / 1 output,Bi-LSTM,0.05708767846226692,0.006283431313931942,7.975983142852783
SWC_10 - 24 input / 6 output,Baseline,0.0610550232231617,0.02552330680191517,9.248857498168945
SWC_10 - 24 input / 6 output,Multi-step Linear,0.034077297896146774,0.01293707825243473,5.4703569412231445
SWC_10 - 24 input / 6 output,Multi-step Dense,0.05695303529500961,0.014197741635143757,8.384834289550781
SWC_10 - 24 input / 6 output,CNN,0.05889736860990524,0.014630898833274841,9.40701961517334
SWC_10 - 24 input / 6 output,RNN,0.04607370123267174,0.011944320052862167,8.321426391601562
SWC_10 - 24 input / 6 output,LSTM,0.11972931772470474,0.03887934237718582,13.077922821044922
SWC_10 - 24 input / 6 output,Autoregressive,0.10347653925418854,0.03658292070031166,13.17781925201416
SWC_10 - 24 input / 6 output,Bi-LSTM,0.09972724318504333,0.024180596694350243,12.850647926330566
SWC_10 - 48 input / 12 output,Baseline,0.08710718899965286,0.0438782274723053,14.520023345947266
SWC_10 - 48 input / 12 output,Multi-step Linear,0.04853455349802971,0.023882213979959488,7.92576265335083
SWC_10 - 48 input / 12 output,Multi-step Dense,0.0744221955537796,0.025448301807045937,11.187829971313477
SWC_10 - 48 input / 12 output,CNN,0.13417264819145203,0.041305944323539734,25.148727416992188
SWC_10 - 48 input / 12 output,RNN,0.07441256195306778,0.024237148463726044,13.699350357055664
SWC_10 - 48 input / 12 output,LSTM,0.19880366325378418,0.06519406288862228,22.44369125366211
SWC_10 - 48 input / 12 output,Autoregressive,0.16171173751354218,0.06145941838622093,20.574525833129883
SWC_10 - 48 input / 12 output,Bi-LSTM,0.10233815014362335,0.03154829517006874,19.424741744995117
SWC_10 - 168 input / 24 output,Baseline,0.07389426976442337,0.05427499860525131,21.39333152770996
SWC_10 - 168 input / 24 output,Multi-step Linear,0.0787869542837143,0.03607969358563423,13.166998863220215
SWC_10 - 168 input / 24 output,Multi-step Dense,0.139017716050148,0.05481773614883423,18.831241607666016
SWC_10 - 168 input / 24 output,CNN,0.09540680050849915,0.039231788367033005,15.545537948608398
SWC_10 - 168 input / 24 output,RNN,0.10415288805961609,0.0418178029358387,17.59958839416504
SWC_10 - 168 input / 24 output,LSTM,0.20071591436862946,0.09321007132530212,26.530929565429688
SWC_10 - 168 input / 24 output,Autoregressive,0.31981170177459717,0.16857154667377472,38.25470733642578
