# Configuration:
# Stations: Station1, Station2
# Target: Sat_SM_AMSR
# Model Type: lstm
# Steps: 7
#
stations,target,model_type,n_steps,features,mse,mae,mae_percentage
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Tair', 'Windspeed', 'Winddirection', 'distance_AMSR')",0.0010352808159341809,0.022750853870012206,18.033605565723278
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'RH', 'Windspeed', 'Winddirection', 'distance_AMSR')",0.0009820922848035039,0.02277682838499212,18.06012594687627
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'Tair', 'Winddirection', 'distance_AMSR')",0.0010884783781043971,0.022780398908928762,18.081748800130885
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'RH', 'Winddirection')",0.0010224839103999469,0.022855528273881428,18.084842339514907
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'Tair', 'RH', 'Windspeed', 'Winddirection')",0.001081974562966401,0.023264261785023468,18.088396350430713
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'Tair', 'RH', 'Windspeed', 'Winddirection', 'distance_AMSR')",0.001053038375326042,0.022572056782328386,18.10349237623318
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'RH', 'Windspeed', 'Winddirection')",0.001039045494531259,0.022861216599970955,18.107976044565497
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Winddirection')",0.0010539377785767775,0.02289232288222352,18.128846646682597
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'RH', 'Windspeed')",0.0010999823037629434,0.02298766047831843,18.1391114051647
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'RH', 'Windspeed', 'Winddirection')",0.0010712666865991712,0.022964320889520586,18.142014186317386
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Srad', 'RH', 'Windspeed', 'Winddirection')",0.001014712592090548,0.023231042003284377,18.172464516842695
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('RH', 'Windspeed', 'Winddirection', 'distance_AMSR')",0.0010196744472033828,0.023294488895780594,18.24200369968847
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'RH', 'Winddirection', 'distance_AMSR')",0.0010341980041904276,0.023284583087552622,18.243676594444686
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Tair', 'RH', 'Winddirection', 'distance_AMSR')",0.0010379894161544857,0.02330149312822688,18.29459424919766
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'RH', 'Windspeed', 'Winddirection', 'distance_AMSR')",0.0010628783489868919,0.02356141549979288,18.330505328439916
"Station1, Station2",Sat_SM_AMSR,lstm,7,"('Ppt', 'Srad', 'Winddirection')",0.0010582650638417276,0.02316194339949754,18.357515832253824
