target,model_type,n_steps,offset,features,mse,mae,mae_percentage
Sat_SM_SMAP,autoregressive,2,2,"('Srad', 'Tair', 'RH', 'Windspeed')",0.0007970441491865466,0.020286235293243783,13.664255786024814
Sat_SM_SMAP,autoregressive,2,2,"('Srad', 'Tair', 'RH', 'Winddirection', 'distance_SMAP')",0.0007971492171432402,0.020410355857821964,13.734872160632412
Sat_SM_SMAP,lstm,2,2,"('Ppt', 'Tair', 'RH', 'Windspeed', 'Winddirection')",0.0007976112118603867,0.020101018777450047,13.705486912299675
Sat_SM_SMAP,autoregressive,2,2,"('Ppt',)",0.0007977636769467767,0.019829391419250705,13.20719283844565
Sat_SM_SMAP,autoregressive,2,2,"('Tair', 'RH', 'Windspeed')",0.0007978914448619145,0.02024015710990063,13.715974772728401
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Srad', 'RH', 'Winddirection')",0.0007979070129220669,0.020383118926277873,13.749370515038608
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Tair', 'Winddirection', 'distance_SMAP')",0.0007979314212060297,0.020043258539220607,13.287532159271166
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Srad', 'Tair', 'RH', 'Winddirection')",0.00079801161222939,0.02030075920154152,13.743781822382447
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Tair', 'Windspeed', 'distance_SMAP')",0.0007982118894519979,0.019924952672859174,13.190936819314295
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Srad', 'RH', 'Windspeed', 'Winddirection')",0.0007983702260431864,0.02041428880657746,13.756759759328704
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Srad', 'RH', 'distance_SMAP')",0.000798512905734328,0.020340783293600416,13.734681381666435
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'Srad', 'Tair', 'Windspeed')",0.0007986852075953279,0.020297259949044365,13.517266206437265
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'RH', 'Windspeed')",0.0007987263033600388,0.020188248322777935,13.671355994077025
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'RH', 'Winddirection')",0.0007991467012314886,0.020319131007572263,13.735366998708983
Sat_SM_SMAP,lstm,2,2,"('Ppt', 'Tair', 'RH', 'Windspeed', 'distance_SMAP')",0.0007991916792024325,0.020111819770882465,13.68788245011939
Sat_SM_SMAP,lstm,2,2,"('Ppt', 'Srad', 'Tair', 'RH', 'Winddirection')",0.0007993317946128822,0.02025921980178071,13.729497683525802
Sat_SM_SMAP,lstm,5,5,"('Ppt', 'Winddirection')",0.0007998883802834757,0.021869975324024786,14.60947904987234
Sat_SM_SMAP,autoregressive,2,2,"('Ppt', 'RH')",0.0008000658023460584,0.02040765653341092,13.83023146155139
Sat_SM_SMAP,lstm,2,2,"('Ppt', 'Srad', 'Tair', 'RH', 'Windspeed', 'Winddirection', 'distance_SMAP')",0.0008002942867221401,0.02044224445976336,13.807007638475815
Sat_SM_SMAP,lstm,7,7,"('Ppt', 'Tair', 'distance_SMAP')",0.0008013088482509465,0.02174390760404238,14.822854480165443
Sat_SM_SMAP,autoregressive,5,5,"('Ppt', 'Tair', 'Winddirection', 'distance_SMAP')",0.0008014707206165923,0.02194186104509186,14.845166046999376
Sat_SM_SMAP,autoregressive,7,7,"('Ppt',)",0.0008017807351096842,0.02174256665578663,14.807355431689063
