Model Name,Epoch,Train Loss,Val Loss
LSTMSWC_5 - 24 input / 1 output,4,0.0038435934111475945,0.0035109904129058123
LSTMSWC_5 - 24 input / 1 output,5,0.0036875528749078512,0.004037617705762386
LSTMSWC_5 - 24 input / 1 output,6,0.0035926257260143757,0.0033880453556776047
LSTMSWC_5 - 24 input / 1 output,7,0.0034263827838003635,0.003543558996170759
LSTMSWC_5 - 24 input / 1 output,8,0.003374409396201372,0.003907857462763786
LSTMSWC_5 - 24 input / 1 output,9,0.0032292064279317856,0.0037446627393364906
LSTMSWC_5 - 24 input / 1 output,10,0.0031721736304461956,0.004364945460110903
AutoregressiveSWC_5 - 24 input / 1 output,1,0.07770700007677078,0.05724687501788139
AutoregressiveSWC_5 - 24 input / 1 output,2,0.049459733068943024,0.052731677889823914
AutoregressiveSWC_5 - 24 input / 1 output,3,0.046941135078668594,0.054670549929142
AutoregressiveSWC_5 - 24 input / 1 output,4,0.04560484364628792,0.05251430347561836
AutoregressiveSWC_5 - 24 input / 1 output,5,0.044358737766742706,0.051110781729221344
AutoregressiveSWC_5 - 24 input / 1 output,6,0.04308134689927101,0.050864432007074356
AutoregressiveSWC_5 - 24 input / 1 output,7,0.042137403041124344,0.04940447956323624
AutoregressiveSWC_5 - 24 input / 1 output,8,0.04121096804738045,0.04788768291473389
AutoregressiveSWC_5 - 24 input / 1 output,9,0.04054732248187065,0.04690257087349892
AutoregressiveSWC_5 - 24 input / 1 output,10,0.03978170454502106,0.04624757543206215
Bi-LSTMSWC_5 - 24 input / 1 output,1,0.028489306569099426,0.013559638522565365
Bi-LSTMSWC_5 - 24 input / 1 output,2,0.0059108128771185875,0.0060891639441251755
Bi-LSTMSWC_5 - 24 input / 1 output,3,0.0050827558152377605,0.007644781842827797
Bi-LSTMSWC_5 - 24 input / 1 output,4,0.004576725885272026,0.007024642080068588
Bi-LSTMSWC_5 - 24 input / 1 output,5,0.004473905079066753,0.00869352649897337
Bi-LSTMSWC_5 - 24 input / 1 output,6,0.00435580313205719,0.00842383224517107
Bi-LSTMSWC_5 - 24 input / 1 output,7,0.0042662047781050205,0.00447048107162118
Bi-LSTMSWC_5 - 24 input / 1 output,8,0.0039881509728729725,0.004936343990266323
Bi-LSTMSWC_5 - 24 input / 1 output,9,0.003814683062955737,0.005509041249752045
Bi-LSTMSWC_5 - 24 input / 1 output,10,0.003813510062173009,0.004526853561401367
BaselineSWC_5 - 24 input / 1 output,1,0.00632760114967823,0.00675191730260849
BaselineSWC_5 - 24 input / 1 output,2,0.006327597890049219,0.00675191730260849
BaselineSWC_5 - 24 input / 1 output,3,0.006327607203274965,0.006751916371285915
BaselineSWC_5 - 24 input / 1 output,4,0.00632760114967823,0.006751913111656904
BaselineSWC_5 - 24 input / 1 output,5,0.006327599287033081,0.0067519149743020535
BaselineSWC_5 - 24 input / 1 output,6,0.00632760114967823,0.006751915905624628
BaselineSWC_5 - 24 input / 1 output,7,0.006327604874968529,0.006751912645995617
BaselineSWC_5 - 24 input / 1 output,8,0.006327597890049219,0.0067519149743020535
BaselineSWC_5 - 24 input / 1 output,9,0.006327598821371794,0.006751912645995617
BaselineSWC_5 - 24 input / 1 output,10,0.00632760114967823,0.006751916371285915
Multi-step LinearSWC_5 - 24 input / 1 output,1,0.24526076018810272,0.03370484337210655
Multi-step LinearSWC_5 - 24 input / 1 output,2,0.013089424930512905,0.006307173054665327
Multi-step LinearSWC_5 - 24 input / 1 output,3,0.005718429572880268,0.005624653771519661
Multi-step LinearSWC_5 - 24 input / 1 output,4,0.005518199875950813,0.005670728161931038
Multi-step LinearSWC_5 - 24 input / 1 output,5,0.005622627213597298,0.0055986493825912476
Multi-step LinearSWC_5 - 24 input / 1 output,6,0.005550455302000046,0.005618734285235405
Multi-step LinearSWC_5 - 24 input / 1 output,7,0.005546282976865768,0.005612819921225309
Multi-step LinearSWC_5 - 24 input / 1 output,8,0.005541264079511166,0.005647750571370125
Multi-step LinearSWC_5 - 24 input / 1 output,9,0.005595806520432234,0.005661472212523222
Multi-step LinearSWC_5 - 24 input / 1 output,10,0.005568779073655605,0.005615886766463518
Multi-step DenseSWC_5 - 24 input / 1 output,1,0.02261931262910366,0.005986400879919529
Multi-step DenseSWC_5 - 24 input / 1 output,2,0.005657273810356855,0.005132207181304693
Multi-step DenseSWC_5 - 24 input / 1 output,3,0.005147505085915327,0.0056340862065553665
Multi-step DenseSWC_5 - 24 input / 1 output,4,0.004716486670076847,0.005405242554843426
Multi-step DenseSWC_5 - 24 input / 1 output,5,0.004680871032178402,0.005873011890798807
Multi-step DenseSWC_5 - 24 input / 1 output,6,0.0046728625893592834,0.005830447655171156
Multi-step DenseSWC_5 - 24 input / 1 output,7,0.004853998776525259,0.004416616167873144
Multi-step DenseSWC_5 - 24 input / 1 output,8,0.0045813084580004215,0.005073497071862221
Multi-step DenseSWC_5 - 24 input / 1 output,9,0.004316774662584066,0.005773489363491535
Multi-step DenseSWC_5 - 24 input / 1 output,10,0.004309090785682201,0.0050032795406877995
CNNSWC_5 - 24 input / 1 output,1,0.027006452903151512,0.007586746942251921
CNNSWC_5 - 24 input / 1 output,2,0.006610360462218523,0.006346728652715683
CNNSWC_5 - 24 input / 1 output,3,0.005525561049580574,0.005943135358393192
CNNSWC_5 - 24 input / 1 output,4,0.0053235627710819244,0.00611209636554122
CNNSWC_5 - 24 input / 1 output,5,0.004970042034983635,0.004900532774627209
CNNSWC_5 - 24 input / 1 output,6,0.00477953813970089,0.019028881564736366
CNNSWC_5 - 24 input / 1 output,7,0.005049258470535278,0.007286943960934877
CNNSWC_5 - 24 input / 1 output,8,0.004382448736578226,0.0059783803299069405
CNNSWC_5 - 24 input / 1 output,9,0.004393043927848339,0.004846126772463322
CNNSWC_5 - 24 input / 1 output,10,0.004284131806343794,0.00676302844658494
RNNSWC_5 - 24 input / 1 output,1,0.023088941350579262,0.004117379430681467
RNNSWC_5 - 24 input / 1 output,2,0.004667892120778561,0.0037317373789846897
RNNSWC_5 - 24 input / 1 output,3,0.0040765320882201195,0.00337200821377337
RNNSWC_5 - 24 input / 1 output,4,0.003967604599893093,0.0034953979775309563
RNNSWC_5 - 24 input / 1 output,5,0.003836191026493907,0.0038268023636192083
RNNSWC_5 - 24 input / 1 output,6,0.00376488477922976,0.004252416081726551
RNNSWC_5 - 24 input / 1 output,7,0.0037270435132086277,0.0037297667004168034
RNNSWC_5 - 24 input / 1 output,8,0.0036884427536278963,0.0035764509811997414
RNNSWC_5 - 24 input / 1 output,9,0.003628252539783716,0.0033187654335051775
RNNSWC_5 - 24 input / 1 output,10,0.0035917293280363083,0.0033777973148971796
LSTMSWC_5 - 24 input / 1 output,1,0.03104952536523342,0.004946697503328323
LSTMSWC_5 - 24 input / 1 output,2,0.004946872126311064,0.003590329084545374
LSTMSWC_5 - 24 input / 1 output,3,0.0040853144600987434,0.003374110907316208
LSTMSWC_5 - 24 input / 1 output,4,0.003832109272480011,0.0035209425259381533
LSTMSWC_5 - 24 input / 1 output,5,0.003609262639656663,0.0038598072715103626
LSTMSWC_5 - 24 input / 1 output,6,0.003487126901745796,0.0033804350532591343
LSTMSWC_5 - 24 input / 1 output,7,0.0033945643808692694,0.0035315353889018297
LSTMSWC_5 - 24 input / 1 output,8,0.0033047536853700876,0.0036045105662196875
LSTMSWC_5 - 24 input / 1 output,9,0.003233996219933033,0.0035975323989987373
LSTMSWC_5 - 24 input / 1 output,10,0.003164320718497038,0.003485550405457616
AutoregressiveSWC_5 - 24 input / 1 output,1,0.07713013142347336,0.053275320678949356
AutoregressiveSWC_5 - 24 input / 1 output,2,0.04835376888513565,0.05270148068666458
AutoregressiveSWC_5 - 24 input / 1 output,3,0.046718429774045944,0.05348445475101471
AutoregressiveSWC_5 - 24 input / 1 output,4,0.04545792192220688,0.05151106417179108
AutoregressiveSWC_5 - 24 input / 1 output,5,0.044453296810388565,0.050367146730422974
AutoregressiveSWC_5 - 24 input / 1 output,6,0.0438939668238163,0.04938217252492905
AutoregressiveSWC_5 - 24 input / 1 output,7,0.04284095764160156,0.04863189160823822
AutoregressiveSWC_5 - 24 input / 1 output,8,0.04211742430925369,0.04835743457078934
AutoregressiveSWC_5 - 24 input / 1 output,9,0.041419778019189835,0.04761970415711403
AutoregressiveSWC_5 - 24 input / 1 output,10,0.04076981917023659,0.050563327968120575
Bi-LSTMSWC_5 - 24 input / 1 output,1,0.029337462037801743,0.009903516620397568
Bi-LSTMSWC_5 - 24 input / 1 output,2,0.006312139797955751,0.0063397022895514965
Bi-LSTMSWC_5 - 24 input / 1 output,3,0.00525030167773366,0.0063323406502604485
Bi-LSTMSWC_5 - 24 input / 1 output,4,0.004744624253362417,0.005760751198977232
Bi-LSTMSWC_5 - 24 input / 1 output,5,0.00441718241199851,0.007074830587953329
Bi-LSTMSWC_5 - 24 input / 1 output,6,0.004297738894820213,0.005670164246112108
Bi-LSTMSWC_5 - 24 input / 1 output,7,0.004057344980537891,0.0051628113724291325
Bi-LSTMSWC_5 - 24 input / 1 output,8,0.003965115640312433,0.0050744409672915936
Bi-LSTMSWC_5 - 24 input / 1 output,9,0.0037047252990305424,0.00506056472659111
Bi-LSTMSWC_5 - 24 input / 1 output,10,0.0035346057265996933,0.004867517855018377
