========================================
Citation:
Pierre, JP, Dashtian, H, &amp; Young, MH. Texas Soil Observation Network (TxSON).
File Created/Processed: 2026-02-24 15:29:16
========================================
"TOA5","CR1000_1","CR1000","98563","CR1000.Std.32.05","CPU:CR1000_1v3_onswitch.CR1","43335","Hourly_met"
"TIMESTAMP","RECORD","Rain_mm_Tot","AirTC_Avg","RH","WS_ms_S_WVT","WindDir_D1_WVT","SlrW_Avg","ETos","Rso"
"TS","RN","mm","Deg C","%","meters/second","Deg","W/m^2","mm","MJ/m²"
"","","Tot","Avg","Smp","WVc","WVc","Avg","ETXs","Rso"
"2022-06-12 18:00:00",102,0,37.01,26.09,2.93,181.9,359.3,0.42,0.566
"2022-06-12 19:00:00",103,0,35.84,27.19,2.645,185.4,74.23,0.174,0.051
"2022-06-12 20:00:00",104,0,33.83,32.31,1.484,186.8,8.09,0.057,0
"2022-06-12 21:00:00",105,0,32.15,35.81,1.793,184.1,0,0.063,0
"2022-06-12 22:00:00",106,0,31.04,46.54,2.814,177,0,0.093,0
"2022-06-12 23:00:00",107,0,29.39,65.38,3.564,179.4,0,0.072,0
"2022-06-13 00:00:00",108,0,27.79,70.03,3.242,186.1,0,0.046,0
"2022-06-13 01:00:00",109,0,26.45,72.41,2.653,190.5,0,0.029,0
"2022-06-13 02:00:00",110,0,25.16,79.91,2.834,191,0,0.022,0
"2022-06-13 03:00:00",111,0,24.07,82.6,2.825,195.3,0,0.011,0
"2022-06-13 04:00:00",112,0,23.46,82.1,2.593,197.5,0,0.009,0
"2022-06-13 05:00:00",113,0,22.87,83.4,2.588,202.2,0,0.007,0.025
"2022-06-13 06:00:00",114,0,22.57,84.5,2.89,197,8.12,0.043,0.444
"2022-06-13 07:00:00",115,0,23.04,80.3,3.161,196.4,133.9,0.116,1.165
"2022-06-13 08:00:00",116,0,24.84,67.43,3.588,194.9,340.6,0.264,1.901
"2022-06-13 09:00:00",117,0,27.18,52.24,3.851,194,553,0.453,2.574
"2022-06-13 10:00:00",118,0,29.76,40.83,3.945,195.9,743.6,0.642,3.118
"2022-06-13 11:00:00",119,0,31.64,36.52,4.088,195.8,888,0.785,3.471
"2022-06-13 12:00:00",120,0,33.17,31.22,3.805,194.2,972,0.864,3.606
"2022-06-13 13:00:00",121,0,34.1,30.95,3.958,192.8,994,0.902,3.517
"2022-06-13 14:00:00",122,0,34.6,29.41,4.16,185.6,960,0.895,3.21
"2022-06-13 15:00:00",123,0,34.98,28.43,4.194,187.6,880,0.847,2.713
"2022-06-13 16:00:00",124,0,35.41,29.02,3.765,185.8,739.5,0.736,2.068
"2022-06-13 17:00:00",125,0,35.28,27.1,4.081,177.2,551.5,0.611,1.324
"2022-06-13 18:00:00",126,0,34.45,31.54,3.546,188,346.2,0.422,0.571
"2022-06-13 19:00:00",127,0,33.11,36.33,4.046,172.4,91.2,0.244,0.052
"2022-06-13 20:00:00",128,0,31.38,50.94,4.112,170,12.13,0.121,0
"2022-06-13 21:00:00",129,0,29.44,64.17,4.833,172.4,0,0.093,0
"2022-06-13 22:00:00",130,0,27.96,69.23,4.335,172.6,0,0.062,0
"2022-06-13 23:00:00",131,0,26.78,74.31,3.859,176.6,0,0.043,0
"2022-06-14 00:00:00",132,0,25.59,77.96,4.195,177.9,0,0.037,0
"2022-06-14 01:00:00",133,0,24.91,78.99,3.857,181.4,0,0.029,0
"2022-06-14 02:00:00",134,0,24.45,78.41,3.786,181,0,0.025,0
"2022-06-14 03:00:00",135,0,23.95,82.1,3.245,185.9,0,0.018,0
"2022-06-14 04:00:00",136,0,23.41,84.2,3.078,185,0,0.012,0
"2022-06-14 05:00:00",137,0,22.93,84.7,1.958,188.4,0,0,0.025
"2022-06-14 06:00:00",138,0,22.65,84.7,2.196,184.9,6.307,0.032,0.442
"2022-06-14 07:00:00",139,0,23.06,79.93,2.974,183.9,115.3,0.107,1.164
"2022-06-14 08:00:00",140,0,24.01,72.48,3.75,186.2,282.4,0.22,1.899
"2022-06-14 09:00:00",141,0,26.33,59.9,3.781,191,538.2,0.418,2.564
"2022-06-14 10:00:00",142,0,28.61,47.66,4.192,190.2,722.4,0.596,3.098
"2022-06-14 11:00:00",143,0,30.42,43.46,4.922,183.8,884,0.756,3.446
"2022-06-14 12:00:00",144,0,31.1,46.75,5.353,178.9,942,0.81,3.569
"2022-06-14 13:00:00",145,0,32.38,36.29,5.656,184.5,1006,0.903,3.496
"2022-06-14 14:00:00",146,0,32.97,35.89,5.822,178.7,874,0.839,3.193
"2022-06-14 15:00:00",147,0,34.25,30.76,5.291,182.4,962,0.921,2.706
"2022-06-14 16:00:00",148,0,34.46,31.89,4.8,185.8,807,0.804,2.062
"2022-06-14 17:00:00",149,0,33.91,34.39,4.831,179.2,449.9,0.545,1.32
"2022-06-14 18:00:00",150,0,33.03,38.51,4.684,177.9,200.1,0.349,0.571
"2022-06-14 19:00:00",151,0,31.56,43.25,4.228,177.1,65.27,0.21,0.053
"2022-06-14 20:00:00",152,0,30.31,50.41,4.231,170.7,9.84,0.114,0
"2022-06-14 21:00:00",153,0,28.61,66.12,3.987,170.3,0,0.078,0
"2022-06-14 22:00:00",154,0,27.14,70.54,3.604,178.6,0,0.046,0
"2022-06-14 23:00:00",155,0,26.13,76.47,3.244,178.3,0,0.031,0
"2022-06-15 00:00:00",156,0,25.41,78.32,3.55,181.5,0,0.027,0
"2022-06-15 01:00:00",157,0,25.08,79.33,3.457,179,0,0.023,0
"2022-06-15 02:00:00",158,0,24.56,79.88,3.289,181.4,0,0.019,0
"2022-06-15 03:00:00",159,0,24.52,78.86,2.659,185.8,0,0.015,0
"2022-06-15 04:00:00",160,0,24.5,80.2,2.459,188.8,0,0.012,0
"2022-06-15 05:00:00",161,0,24.5,79.48,1.777,187.8,0,0.005,0.025
"2022-06-15 06:00:00",162,0,24.32,80.9,2.408,178.5,2.506,0.042,0.44
"2022-06-15 07:00:00",163,0,24.66,78.42,2.413,184.3,95.3,0.104,1.158
"2022-06-15 08:00:00",164,0,25.1,76.7,2.509,190.2,190.3,0.167,1.889
"2022-06-15 09:00:00",165,0,26.03,68.45,2.98,194.6,314.6,0.265,2.548
"2022-06-15 10:00:00",166,0,27.1,68.43,2.979,196.3,338.4,0.304,3.071
"2022-06-15 11:00:00",167,0,27.25,61.94,2.902,192.6,371,0.326,3.407
"2022-06-15 12:00:00",168,0,30.05,49.27,3.166,196.1,743.1,0.615,3.545
"2022-06-15 13:00:00",169,0,30.12,59.02,3.601,186.3,598.3,0.539,3.463
