,ar_bi_lstm,y_true,shift_bl,ar_lstm,cnn,lstm,bi_lstm
153,0.19991429,0.1591576229671049,0.1707554488572138,0.2096921,0.18865514,0.21481255,0.14999537
154,0.2015771,0.1591576229671049,0.1707554488572138,0.2115977,0.18793018,0.21629564,0.1520731
155,0.20259431,0.1591576229671049,0.1765543618022682,0.21295089,0.19488963,0.21892592,0.15179047
156,0.20393223,0.1591576229671049,0.1765543618022682,0.2138002,0.19750032,0.22043428,0.14847732
157,0.2046951,0.1591576229671049,0.1765543618022682,0.21397927,0.20538951,0.2197472,0.1439306
158,0.20604596,0.1591576229671049,0.1765543618022682,0.21404302,0.20721763,0.21743213,0.1387065
159,0.20792788,0.1591576229671049,0.1707554488572138,0.21571447,0.20008701,0.21649598,0.13706857
160,0.21055697,0.1591576229671049,0.1765543618022682,0.21698086,0.19990201,0.2176788,0.13847438
161,0.21035953,0.1591576229671049,0.1765543618022682,0.2180487,0.1888876,0.21836658,0.14514735
162,0.21101563,0.1591576229671049,0.1765543618022682,0.21688196,0.18385178,0.21995689,0.15104644
163,0.20996323,0.1591576229671049,0.1823532747473226,0.21777731,0.16982491,0.22186276,0.15526961
164,0.20760268,0.1591576229671049,0.1823532747473226,0.21879427,0.15990241,0.22274616,0.15595928
165,0.20791338,0.1649565359121593,0.1823532747473226,0.2197113,0.1577041,0.2233918,0.15953834
166,0.2069639,0.1649565359121593,0.1823532747473226,0.22022505,0.15897036,0.2239005,0.16114433
167,0.20601632,0.1649565359121593,0.1823532747473226,0.22047131,0.16076022,0.22418243,0.16117425
168,0.20497598,0.1649565359121593,0.1881521876923771,0.21903116,0.17185035,0.22468781,0.16115539
169,0.20295686,0.1649565359121593,0.1881521876923771,0.21620561,0.17623624,0.22601217,0.16010779
170,0.20146282,0.1649565359121593,0.1881521876923771,0.21285509,0.17769554,0.22729248,0.15912968
171,0.20071544,0.1649565359121593,0.1881521876923771,0.21002309,0.18093641,0.22835594,0.15889864
172,0.20088358,0.1649565359121593,0.1939511006374316,0.20936215,0.18189104,0.22886795,0.15801734
173,0.20081164,0.1649565359121593,0.1881521876923771,0.20840028,0.18477851,0.22914813,0.15834905
174,0.20206518,0.1649565359121593,0.1881521876923771,0.20943029,0.18536061,0.22877471,0.15837404
175,0.2036374,0.1649565359121593,0.1939511006374316,0.21070205,0.19397938,0.22861794,0.16033746
176,0.2051932,0.1649565359121593,0.1939511006374316,0.21253379,0.19138387,0.22935744,0.1621331
177,0.20692252,0.1649565359121593,0.1939511006374316,0.2143883,0.19917998,0.23111397,0.16423766
178,0.20893125,0.1649565359121593,0.199750013582486,0.21641693,0.19953282,0.23381765,0.16571374
179,0.21025449,0.1649565359121593,0.199750013582486,0.21829516,0.19401687,0.2370062,0.16730903
180,0.21147208,0.1649565359121593,0.199750013582486,0.21975718,0.20528746,0.240225,0.16905278
181,0.21142069,0.1649565359121593,0.199750013582486,0.2199866,0.19770111,0.24261013,0.16926245
182,0.20983726,0.1649565359121593,0.199750013582486,0.21881174,0.20560625,0.2402388,0.16012505
183,0.21025269,0.1649565359121593,0.199750013582486,0.21948594,0.20215696,0.23584941,0.15654445
184,0.21193473,0.1649565359121593,0.2055489265275405,0.22085123,0.20695771,0.23455745,0.15960431
185,0.21210119,0.1649565359121593,0.2055489265275405,0.22038756,0.20510352,0.2329393,0.16428322
186,0.21162996,0.1649565359121593,0.2055489265275405,0.22010504,0.19794351,0.23162252,0.16877732
187,0.21083583,0.1649565359121593,0.2055489265275405,0.22032478,0.1882076,0.23030521,0.1717076
188,0.20935477,0.1649565359121593,0.2055489265275405,0.22095726,0.17930093,0.22900555,0.17230098
189,0.20792648,0.1649565359121593,0.2113478394725949,0.22086173,0.1776529,0.228151,0.1721522
190,0.20845927,0.1649565359121593,0.2113478394725949,0.2209837,0.17318423,0.22870559,0.17458235
191,0.20774458,0.1649565359121593,0.2113478394725949,0.22084573,0.17624526,0.22900364,0.17462185
192,0.2072245,0.1649565359121593,0.2171467524176494,0.2197329,0.18512282,0.2299011,0.17406414
193,0.20666465,0.1649565359121593,0.2171467524176494,0.21795975,0.19570494,0.23124424,0.17385875
194,0.20599453,0.1649565359121593,0.2229456653627038,0.21612807,0.19796002,0.23285581,0.17369911
195,0.20504053,0.1649565359121593,0.2229456653627038,0.21493573,0.1956189,0.23466559,0.17232208
196,0.20470591,0.1649565359121593,0.2229456653627038,0.21317697,0.19905348,0.23617397,0.17301717
197,0.20556028,0.1649565359121593,0.2229456653627038,0.21327513,0.20049474,0.23684177,0.17320196
198,0.20658942,0.1649565359121593,0.2229456653627038,0.21425278,0.20310408,0.2366747,0.17251568
199,0.207343,0.1591576229671049,0.2287445783077583,0.21745598,0.20366466,0.2345192,0.16653055
200,0.2096714,0.1591576229671049,0.2287445783077583,0.21904935,0.19717781,0.23190562,0.16808663
201,0.21126305,0.1591576229671049,0.2287445783077583,0.22074929,0.20424491,0.23005211,0.17298575
202,0.21315558,0.1591576229671049,0.2345434912528128,0.22327091,0.20453647,0.23083769,0.17992969
203,0.21673381,0.1591576229671049,0.2345434912528128,0.22801943,0.20038542,0.23705922,0.19188595
204,0.21575482,0.1591576229671049,0.2345434912528128,0.22936352,0.20210831,0.2426875,0.19633938
205,0.21757449,0.1591576229671049,0.2403424041978671,0.2326391,0.19924854,0.25112465,0.20509686
206,0.22832653,0.1591576229671049,0.2403424041978671,0.2489624,0.1987459,0.27992877,0.24257396
207,0.23250611,0.1591576229671049,0.2403424041978671,0.259121,0.1983965,0.3094721,0.26260474
208,0.22772123,0.1591576229671049,0.2403424041978671,0.254387,0.20165008,0.32087645,0.25155976
209,0.23460418,0.1591576229671049,0.2461413171429216,0.259609,0.20076495,0.3314582,0.26249984
210,0.23645921,0.1591576229671049,0.2461413171429216,0.25365186,0.20152375,0.32971787,0.25223887
211,0.23760265,0.1591576229671049,0.2461413171429216,0.25177842,0.19338822,0.32347706,0.24602062
212,0.23924959,0.1591576229671049,0.251940230087976,0.25114602,0.1885245,0.31710976,0.24176328
