model,config,label,params,output_horizon,season,rmse,mae,mape,corr,features
arima,4,ARIMA | Horizon=48 | Season=All,"{'d': 0, 'p': 0, 'q': 1, 'seasonal': False}",48,All,0.05447698831767988,0.04650283702535693,0.2693817814259385,0.015017279370340683,
arima,4,ARIMA | Horizon=72 | Season=All,"{'d': 0, 'p': 0, 'q': 1, 'seasonal': False}",72,All,0.05447698831767988,0.04650283702535693,0.2693817814259385,0.015017279370340683,
arima,4,ARIMA | Horizon=168 | Season=All,"{'d': 0, 'p': 0, 'q': 1, 'seasonal': False}",168,All,0.05447698831767988,0.04650283702535693,0.2693817814259385,0.015017279370340683,
arima,5,ARIMA | Horizon=48 | Season=All,"{'d': 0, 'p': 0, 'q': 2, 'seasonal': True}",48,All,0.05447656542968064,0.046501156836305214,0.2693785350360637,0.019071865187253317,
arima,5,ARIMA | Horizon=72 | Season=All,"{'d': 0, 'p': 0, 'q': 2, 'seasonal': True}",72,All,0.05447656542968064,0.046501156836305214,0.2693785350360637,0.019071865187253317,
arima,5,ARIMA | Horizon=168 | Season=All,"{'d': 0, 'p': 0, 'q': 2, 'seasonal': True}",168,All,0.05447656542968064,0.046501156836305214,0.2693785350360637,0.019071865187253317,
arima,6,ARIMA | Horizon=48 | Season=All,"{'d': 0, 'p': 0, 'q': 2, 'seasonal': False}",48,All,0.05447656542968064,0.046501156836305214,0.2693785350360637,0.019071865187253317,
arima,6,ARIMA | Horizon=72 | Season=All,"{'d': 0, 'p': 0, 'q': 2, 'seasonal': False}",72,All,0.05447656542968064,0.046501156836305214,0.2693785350360637,0.019071865187253317,
arima,6,ARIMA | Horizon=168 | Season=All,"{'d': 0, 'p': 0, 'q': 2, 'seasonal': False}",168,All,0.05447656542968064,0.046501156836305214,0.2693785350360637,0.019071865187253317,
arima,7,ARIMA | Horizon=48 | Season=All,"{'d': 0, 'p': 1, 'q': 0, 'seasonal': True}",48,All,0.053511224472164394,0.045054773475236204,0.2640926084992429,0.37687800546377853,
arima,7,ARIMA | Horizon=72 | Season=All,"{'d': 0, 'p': 1, 'q': 0, 'seasonal': True}",72,All,0.053511224472164394,0.045054773475236204,0.2640926084992429,0.37687800546377853,
arima,7,ARIMA | Horizon=168 | Season=All,"{'d': 0, 'p': 1, 'q': 0, 'seasonal': True}",168,All,0.053511224472164394,0.045054773475236204,0.2640926084992429,0.37687800546377853,
arima,8,ARIMA | Horizon=48 | Season=All,"{'d': 0, 'p': 1, 'q': 0, 'seasonal': False}",48,All,0.053511224472164394,0.045054773475236204,0.2640926084992429,0.37687800546377853,
arima,8,ARIMA | Horizon=72 | Season=All,"{'d': 0, 'p': 1, 'q': 0, 'seasonal': False}",72,All,0.053511224472164394,0.045054773475236204,0.2640926084992429,0.37687800546377853,
arima,8,ARIMA | Horizon=168 | Season=All,"{'d': 0, 'p': 1, 'q': 0, 'seasonal': False}",168,All,0.053511224472164394,0.045054773475236204,0.2640926084992429,0.37687800546377853,
arima,9,ARIMA | Horizon=48 | Season=All,"{'d': 0, 'p': 1, 'q': 1, 'seasonal': True}",48,All,0.053721685097242615,0.04542380690926751,0.26546700403563955,0.3311237857727592,
arima,9,ARIMA | Horizon=72 | Season=All,"{'d': 0, 'p': 1, 'q': 1, 'seasonal': True}",72,All,0.053721685097242615,0.04542380690926751,0.26546700403563955,0.3311237857727592,
arima,9,ARIMA | Horizon=168 | Season=All,"{'d': 0, 'p': 1, 'q': 1, 'seasonal': True}",168,All,0.053721685097242615,0.04542380690926751,0.26546700403563955,0.3311237857727592,
arima,10,ARIMA | Horizon=48 | Season=All,"{'d': 0, 'p': 1, 'q': 1, 'seasonal': False}",48,All,0.053721685097242615,0.04542380690926751,0.26546700403563955,0.3311237857727592,
arima,10,ARIMA | Horizon=72 | Season=All,"{'d': 0, 'p': 1, 'q': 1, 'seasonal': False}",72,All,0.053721685097242615,0.04542380690926751,0.26546700403563955,0.3311237857727592,
arima,10,ARIMA | Horizon=168 | Season=All,"{'d': 0, 'p': 1, 'q': 1, 'seasonal': False}",168,All,0.053721685097242615,0.04542380690926751,0.26546700403563955,0.3311237857727592,
arima,11,ARIMA | Horizon=48 | Season=All,"{'d': 0, 'p': 1, 'q': 2, 'seasonal': True}",48,All,0.053653616039236546,0.045307890631334294,0.26503622214466455,0.34640259511358673,
arima,11,ARIMA | Horizon=72 | Season=All,"{'d': 0, 'p': 1, 'q': 2, 'seasonal': True}",72,All,0.053653616039236546,0.045307890631334294,0.26503622214466455,0.34640259511358673,
arima,11,ARIMA | Horizon=168 | Season=All,"{'d': 0, 'p': 1, 'q': 2, 'seasonal': True}",168,All,0.053653616039236546,0.045307890631334294,0.26503622214466455,0.34640259511358673,
arima,12,ARIMA | Horizon=48 | Season=All,"{'d': 0, 'p': 1, 'q': 2, 'seasonal': False}",48,All,0.053653616039236546,0.045307890631334294,0.26503622214466455,0.34640259511358673,
arima,12,ARIMA | Horizon=72 | Season=All,"{'d': 0, 'p': 1, 'q': 2, 'seasonal': False}",72,All,0.053653616039236546,0.045307890631334294,0.26503622214466455,0.34640259511358673,
arima,12,ARIMA | Horizon=168 | Season=All,"{'d': 0, 'p': 1, 'q': 2, 'seasonal': False}",168,All,0.053653616039236546,0.045307890631334294,0.26503622214466455,0.34640259511358673,
arima,13,ARIMA | Horizon=48 | Season=All,"{'d': 0, 'p': 2, 'q': 0, 'seasonal': True}",48,All,0.053742737059554055,0.04545901373709704,0.26559760913531827,0.3262811690825828,
arima,13,ARIMA | Horizon=72 | Season=All,"{'d': 0, 'p': 2, 'q': 0, 'seasonal': True}",72,All,0.053742737059554055,0.04545901373709704,0.26559760913531827,0.3262811690825828,
arima,13,ARIMA | Horizon=168 | Season=All,"{'d': 0, 'p': 2, 'q': 0, 'seasonal': True}",168,All,0.053742737059554055,0.04545901373709704,0.26559760913531827,0.3262811690825828,
arima,14,ARIMA | Horizon=48 | Season=All,"{'d': 0, 'p': 2, 'q': 0, 'seasonal': False}",48,All,0.053742737059554055,0.04545901373709704,0.26559760913531827,0.3262811690825828,
arima,14,ARIMA | Horizon=72 | Season=All,"{'d': 0, 'p': 2, 'q': 0, 'seasonal': False}",72,All,0.053742737059554055,0.04545901373709704,0.26559760913531827,0.3262811690825828,
arima,14,ARIMA | Horizon=168 | Season=All,"{'d': 0, 'p': 2, 'q': 0, 'seasonal': False}",168,All,0.053742737059554055,0.04545901373709704,0.26559760913531827,0.3262811690825828,
arima,15,ARIMA | Horizon=48 | Season=All,"{'d': 0, 'p': 2, 'q': 1, 'seasonal': True}",48,All,0.053668835417450836,0.04533408333398531,0.2651336636043234,0.343026542641529,
arima,15,ARIMA | Horizon=72 | Season=All,"{'d': 0, 'p': 2, 'q': 1, 'seasonal': True}",72,All,0.053668835417450836,0.04533408333398531,0.2651336636043234,0.343026542641529,
arima,15,ARIMA | Horizon=168 | Season=All,"{'d': 0, 'p': 2, 'q': 1, 'seasonal': True}",168,All,0.053668835417450836,0.04533408333398531,0.2651336636043234,0.343026542641529,
arima,16,ARIMA | Horizon=48 | Season=All,"{'d': 0, 'p': 2, 'q': 1, 'seasonal': False}",48,All,0.053668835417450836,0.04533408333398531,0.2651336636043234,0.343026542641529,
arima,16,ARIMA | Horizon=72 | Season=All,"{'d': 0, 'p': 2, 'q': 1, 'seasonal': False}",72,All,0.053668835417450836,0.04533408333398531,0.2651336636043234,0.343026542641529,
arima,16,ARIMA | Horizon=168 | Season=All,"{'d': 0, 'p': 2, 'q': 1, 'seasonal': False}",168,All,0.053668835417450836,0.04533408333398531,0.2651336636043234,0.343026542641529,
arima,17,ARIMA | Horizon=48 | Season=All,"{'d': 0, 'p': 2, 'q': 2, 'seasonal': True}",48,All,0.05361444864214899,0.04523974167812143,0.2647824412673924,0.35500021903453044,
arima,17,ARIMA | Horizon=72 | Season=All,"{'d': 0, 'p': 2, 'q': 2, 'seasonal': True}",72,All,0.05361444864214899,0.04523974167812143,0.2647824412673924,0.35500021903453044,
